raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2018,"Section 1","Part B","Physics"
1,1,NSAA,2018,"Section 1","Part B","Physics"
2,1,NSAA,2018,"Section 1","Part B","Physics"
3,1,NSAA,2018,"Section 1","Part B","Physics"
4,1,NSAA,2018,"Section 1","Part B","Physics"
5,1.4,NSAA,2018,"Section 1","Part B","Physics"
6,2,NSAA,2018,"Section 1","Part B","Physics"
7,2.6,NSAA,2018,"Section 1","Part B","Physics"
8,3.2,NSAA,2018,"Section 1","Part B","Physics"
9,3.8,NSAA,2018,"Section 1","Part B","Physics"
10,4.4,NSAA,2018,"Section 1","Part B","Physics"
11,5,NSAA,2018,"Section 1","Part B","Physics"
12,5.6,NSAA,2018,"Section 1","Part B","Physics"
13,6.3,NSAA,2018,"Section 1","Part B","Physics"
14,7,NSAA,2018,"Section 1","Part B","Physics"
15,7.8,NSAA,2018,"Section 1","Part B","Physics"
16,8.9,NSAA,2018,"Section 1","Part B","Physics"
17,9,NSAA,2018,"Section 1","Part B","Physics"
18,9,NSAA,2018,"Section 1","Part B","Physics"